Input Size	Execution Time
10000	2.0859999657
10000	1.5620000362
10000	1.7640000582
10000	1.5720000267
10000	1.6950000525
10000	1.5329999924
10000	1.6280000210
10000	1.5670000315
10000	1.5290000439
10000	1.5779999495
10000	1.5399999619
10000	1.5520000458
10000	1.6150000095
10000	1.5160000324
10000	1.6369999647
10000	1.5219999552
10000	1.6210000515
10000	1.5110000372
10000	1.6619999409
10000	1.6480000019
10000	1.5629999638
10000	1.6510000229
10000	1.5599999428
10000	1.5850000381
10000	1.5729999542
10000	1.5190000534
10000	1.6080000401
10000	1.5240000486
10000	1.5779999495
10000	1.5290000439
10000	1.5720000267
10000	1.5379999876
10000	1.6039999723
10000	1.5399999619
10000	1.5659999847
10000	1.5249999762
10000	1.5950000286
10000	1.5729999542
10000	1.5319999456
10000	1.5290000439
10000	1.9060000181
10000	1.5210000277
10000	1.5549999475
10000	1.5709999800
10000	1.5360000134
10000	1.5820000172
10000	1.5199999809
10000	1.5750000477
10000	1.6119999886
10000	1.5390000343
10000	1.5089999437
10000	1.7130000591
10000	1.7469999790
10000	1.5279999971
10000	1.5169999599
10000	1.5299999714
10000	1.5980000496
10000	1.5230000019
10000	1.5709999800
10000	1.7519999743
10000	1.6069999933
10000	1.5900000334
10000	1.5980000496
10000	1.6349999905
10000	1.5429999828
10000	1.5149999857
10000	1.7009999752
10000	1.5620000362
10000	1.5679999590
10000	1.6139999628
100000	18.7019996643
100000	18.4230003357
100000	18.3159999847
100000	18.3980007172
100000	18.5389995575
100000	18.3029994965
100000	18.3850002289
100000	18.6639995575
100000	18.4009990692
100000	18.4120006561
100000	18.5179996490
100000	18.6490001678
100000	18.4050006866
100000	18.4090003967
100000	18.3689994812
100000	18.4710006714
100000	18.3369998932
100000	18.2299995422
100000	18.4409999847
100000	18.4060001373
100000	18.3180007935
100000	18.3600006104
100000	18.5179996490
100000	18.3610000610
100000	18.4389991760
100000	18.5659999847
100000	18.3220005035
100000	18.4769992828
100000	18.3980007172
100000	18.6539993286
100000	18.4810009003
100000	18.4720001221
100000	18.4589996338
100000	18.5760002136
100000	18.4909992218
100000	18.3379993439
100000	18.6210002899
100000	18.2689990997
100000	18.4080009460
100000	18.2900009155
100000	18.6889991760
100000	18.3199996948
100000	18.4500007629
100000	18.4820003510
100000	18.3710002899
100000	18.5100002289
100000	18.3059997559
100000	18.4850006104
100000	18.3630008698
100000	18.5139999390
100000	18.3789997101
100000	18.3490009308
100000	18.3600006104
100000	18.3409996033
100000	18.3120002747
100000	18.3290004730
100000	18.4139995575
